iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h
15,1.2747839839999813,118.404096,6.921941757202148,0.010275935754179955,0.08332553505897522,0.33984375,0.6848470568656921,0.0,20.0,0.0,0.0,20.0,18.0,2.0,0.3393098513285319,0.15632379055023193
16,1.3269714020000265,118.404096,7.131223678588867,0.020304329693317413,0.12320434302091599,0.33935546875,0.7032904028892517,0.0,4.0,0.0,0.0,4.0,3.0,1.0,0.3165523608525594,0.15928345918655396
17,1.3280103360000055,118.404096,7.4221296310424805,0.03535051271319389,0.082534059882164,0.3369140625,0.7270410060882568,0.0,13.0,0.0,0.0,13.0,12.0,1.0,0.2739366888999939,0.1570945680141449
18,1.32050658,118.404096,7.74558687210083,0.055575016885995865,0.08301989734172821,0.17529296875,0.7508144378662109,0.0,1768.0,0.0,0.0,1706.0,1766.0,2.0,0.21552860736846924,0.15656590461730957
19,1.3456264600000054,118.404096,6.731453895568848,0.004113397561013699,0.08565938472747803,0.1708984375,0.6655817031860352,0.0,31.0,0.0,0.0,31.0,28.0,3.0,0.3411436080932617,0.15695230662822723
20,1.3284395089999919,118.404096,6.955676078796387,0.011982675641775131,0.16344256699085236,0.169921875,0.6851406097412109,0.0,8.0,0.0,0.0,8.0,3.0,5.0,0.32177114486694336,0.1572796106338501
21,1.3127566880000074,118.404096,7.549102783203125,0.03432022035121918,0.08466872572898865,0.16943359375,0.7391332387924194,0.0,9.0,0.0,0.0,9.0,6.0,3.0,0.2820523977279663,0.15623188018798828
22,1.3438119899999776,118.404096,8.26624870300293,0.048974715173244476,0.14518232643604279,0.16796875,0.8014960289001465,0.0,24.0,0.0,0.0,22.0,23.0,1.0,0.22313489516576132,0.15611860156059265
23,1.3262517040000148,118.404096,6.689992427825928,0.014575454406440258,0.24101026356220245,0.14599609375,0.6561259627342224,0.0,1746.0,0.0,0.0,1684.0,1744.0,2.0,0.3260350823402405,0.15611699223518372
24,1.3034168840000007,118.404096,6.771656513214111,0.005529015325009823,0.12818996608257294,0.1455078125,0.6618781685829163,0.0,6.0,0.0,0.0,6.0,4.0,2.0,0.32490086555480957,0.15232177078723907
25,1.2860179529999982,118.404096,7.792616367340088,-0.01318448781967163,0.035564273595809937,0.14404296875,0.7571560740470886,0.0,11.0,0.0,0.0,11.0,9.0,2.0,0.28782496849695843,0.14937692880630493
26,1.2936542590000215,118.404096,9.056914329528809,-0.0012318962253630161,0.154774472117424,0.14404296875,0.8735350966453552,0.0,11.0,0.0,0.0,11.0,9.0,2.0,0.2319005529085795,0.15646028518676758
27,1.319285146999988,118.404096,7.402065753936768,-0.0031978306360542774,0.19000773131847382,0.14208984375,0.7210779190063477,0.0,1759.0,0.0,0.0,1697.0,1757.0,3.0,0.3101869026819865,0.1561814844608307
28,1.304285644999993,118.404096,7.072477340698242,0.0008682721527293324,0.16300174593925476,0.14208984375,0.6873382329940796,0.0,9.0,0.0,0.0,8.0,5.0,4.0,0.32981663942337036,0.15916350483894348
