dir,experiment,condition,mode,variant,num_envs,seed,steps_per_iter,sim_seconds,iters_timed,it_per_s_median,it_per_s_p10,it_per_s_p90,robot_steps_per_s,peak_mem_mb,total_wall_s,final_terrain_level,final_loss,final_vx,gpu
diag23/fhold_probe450,campaign,foothold residual unsupervised,fhold_fwd,cuda,1024,0,24,16.8,330,1.0093915317340747,0.9478061664280488,1.06028664382466,24806.80628389662,114.473984,351.278262605,0.103515625,0.9647864699363708,0.3431541323661804,NVIDIA GeForce GTX 1660 Ti
diag23/fhold_x_q13834,campaign,foothold residual x,fhold_fwd,cuda,1024,0,24,21.6,430,0.9422775269779424,0.8605688085423062,0.9971273651045479,23157.412503009913,111.550464,483.21926790400005,0.0830078125,1.1333918571472168,0.3174266219139099,NVIDIA GeForce GTX 1660 Ti
diag23/fhold_xy_q13834,campaign,foothold residual x+y,fhold_fwd,cuda,1024,0,24,21.6,430,0.9552223969512135,0.8647330887410083,1.0086422294891748,23475.545627473024,111.644672,478.699421003,0.0654296875,1.1985352039337158,0.29385507106781006,NVIDIA GeForce GTX 1660 Ti
diag24/horizon48_long,campaign,window 48 steps (82 s),blind_rudin_fwd,cuda,1024,0,48,81.6,830,0.5053963282312625,0.4792470127907722,0.5312391115206082,24841.240325223014,116.537344,1690.228412404,0.0185546875,0.9989470839500427,0.32874590158462524,NVIDIA GeForce GTX 1660 Ti
diag24/horizon48_matched,campaign,window 48 steps (41 s),blind_rudin_fwd,cuda,1024,0,48,40.8,405,0.5112674404361028,0.4790992399843423,0.5338982696293922,25129.817232315327,116.537344,840.4408815,0.04296875,0.8948075771331787,0.3565453290939331,NVIDIA GeForce GTX 1660 Ti
train/blind_rudin_s0,exp2,blind_rudin,blind_rudin,cuda,2048,0,24,240.0,4980,0.6436295093940345,0.6167121649817774,0.6733453651296529,31635.677645735585,121.22624,7758.744298455,0.00048828125,2.9048728942871094,0.0019247119780629873,NVIDIA GeForce GTX 1660 Ti
train/blind_rudin_s1,exp2,blind_rudin,blind_rudin,cuda,2048,1,24,240.0,4980,0.6429081397314278,0.6155986383472943,0.6730136304679891,31600.22088407914,121.338368,7768.668451269999,0.00048828125,2.725188970565796,-0.02368331328034401,NVIDIA GeForce GTX 1660 Ti
train/blind_rudin_s2,exp2,blind_rudin,blind_rudin,cuda,2048,2,24,240.0,4980,0.6451105796366362,0.619000409177461,0.6775625837309777,31708.47521029994,122.548736,7724.328799899,0.00048828125,3.0213449001312256,-0.0032851567957550287,NVIDIA GeForce GTX 1660 Ti
train/depth_s0,exp2,depth,depth,cuda,2048,0,24,240.0,4980,0.49364595318060933,0.4778231236728608,0.5088218510039755,24263.685890733308,284.066816,10140.426903316995,0.001953125,2.776679277420044,-0.01210406981408596,NVIDIA GeForce GTX 1660 Ti
train/height_s0,exp2,height,height,cuda,2048,0,24,240.0,4980,0.641180902159126,0.6135458336987384,0.6688179071138826,31515.323702925365,186.312192,7798.271254473999,0.0009765625,2.6583852767944336,0.004252122715115547,NVIDIA GeForce GTX 1660 Ti
train/height_s1,exp2,height,height,cuda,2048,1,24,240.0,4980,0.6417204263824021,0.6149485314271536,0.6746731437514186,31541.84239754783,186.354688,7774.861043270001,0.00146484375,2.750544786453247,-0.02513563074171543,NVIDIA GeForce GTX 1660 Ti
train/height_s2,exp2,height,height,cuda,2048,2,24,240.0,4980,0.6450932485919664,0.6211678961388459,0.6744981537069042,31707.623354792333,186.354688,7728.946867630999,0.00244140625,2.8036649227142334,-0.005082522518932819,NVIDIA GeForce GTX 1660 Ti
train/hloss_s0,exp2,hloss,hloss,cuda,2048,0,24,240.0,4980,0.6515025103178336,0.6272445303758742,0.6772411831006719,32022.651387142156,172.994048,7668.693142405002,0.00390625,2.6098926067352295,-0.010476500727236271,NVIDIA GeForce GTX 1660 Ti
train/hloss_s1,exp2,hloss,hloss,cuda,2048,1,24,240.0,4980,0.6493192545542911,0.6234093220991753,0.6816450301315216,31915.339999852513,173.07136,7676.208338323,0.00537109375,2.774385690689087,-0.0008783568628132343,NVIDIA GeForce GTX 1660 Ti
train/hloss_s2,exp2,hloss,hloss,cuda,2048,2,24,240.0,4980,0.6537189772075129,0.6292946179734867,0.6831874102502559,32131.595167703676,175.36512,7627.783068944,0.00244140625,2.556847095489502,-0.022232873365283012,NVIDIA GeForce GTX 1660 Ti
train/hobs_s0,exp2,hobs,hobs,cuda,2048,0,24,240.0,4980,0.6400090723589877,0.6140303563947159,0.6672068082527048,31457.725924588965,182.445568,7805.642801251,0.00048828125,2.7164058685302734,0.0017908380832523108,NVIDIA GeForce GTX 1660 Ti
train/hobs_s1,exp2,hobs,hobs,cuda,2048,1,24,240.0,4980,0.6298248369332319,0.6013312845289599,0.665581589811335,30957.150384942215,182.488064,7916.299691733,0.0009765625,2.748321294784546,-0.007451147772371769,NVIDIA GeForce GTX 1660 Ti
train/hobs_s2,exp2,hobs,hobs,cuda,2048,2,24,240.0,4980,0.6429654544062189,0.6180886454138055,0.6698176214266073,31603.03801497447,182.52288,7767.245416716,0.00048828125,3.0130813121795654,0.009358612820506096,NVIDIA GeForce GTX 1660 Ti
