iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h
14,1.417391624000004,178.84416,7.162586212158203,0.07067281007766724,0.03203573077917099,0.34521484375,0.6951338648796082,0.0,1798.0,0.0,0.0,1730.0,1797.0,1.0,0.22665566205978394,0.15653246641159058
15,1.395594324000001,178.84416,6.867447853088379,-0.009588324464857578,0.06246519088745117,0.3427734375,0.68010014295578,0.0,13.0,0.0,0.0,13.0,12.0,1.0,0.33910175164540607,0.15721482038497925
16,1.3662605499999927,178.84416,6.998242378234863,0.013998549431562424,0.03787960857152939,0.3408203125,0.6906242370605469,0.0,9.0,0.0,0.0,9.0,7.0,2.0,0.3161950906117757,0.15520688891410828
17,1.3950755650000133,178.84416,7.241049289703369,0.05061246454715729,0.06185934692621231,0.33984375,0.7097609043121338,0.0,9.0,0.0,0.0,9.0,8.0,1.0,0.2733680009841919,0.15716129541397095
18,1.421719089000021,178.84416,7.539700984954834,0.07208800315856934,0.07615605741739273,0.17724609375,0.7310967445373535,0.0,1773.0,0.0,0.0,1724.0,1772.0,1.0,0.21463916699091592,0.15677911043167114
19,1.4039616929999852,178.84416,6.889718532562256,-0.002327434252947569,0.07218682020902634,0.173828125,0.6819032430648804,0.0,22.0,0.0,0.0,22.0,20.0,2.0,0.34013696511586505,0.1566004455089569
20,1.4262439290000088,178.84416,7.055405616760254,0.009221978485584259,0.043855149298906326,0.171875,0.6962504386901855,0.0,16.0,0.0,0.0,13.0,9.0,7.0,0.3199764887491862,0.1570562869310379
21,1.423032685999999,178.84416,7.491949558258057,0.03791482374072075,0.10459499806165695,0.1708984375,0.7349863052368164,0.0,12.0,0.0,0.0,12.0,11.0,1.0,0.28057650725046795,0.15399178862571716
22,1.385996256999988,178.84416,7.977199554443359,0.07112467288970947,0.0664491355419159,0.17041015625,0.7749605178833008,0.0,22.0,0.0,0.0,20.0,21.0,1.0,0.22185516357421875,0.156907856464386
23,1.3970487990000038,178.84416,6.97261381149292,0.018541155382990837,0.2595500946044922,0.14697265625,0.6867381930351257,0.0,1755.0,0.0,0.0,1688.0,1754.0,1.0,0.3246540625890096,0.15540240705013275
24,1.3870050819999733,178.84416,7.016220569610596,0.011089993640780449,0.17506185173988342,0.14697265625,0.6902737021446228,0.0,8.0,0.0,0.0,8.0,6.0,2.0,0.32391128937403363,0.15614578127861023
25,1.4061025359999917,178.84416,7.756420135498047,0.004753538407385349,0.08403117209672928,0.14697265625,0.758621096611023,0.0,11.0,0.0,0.0,11.0,9.0,2.0,0.28675862153371173,0.15682032704353333
26,1.4118172600000207,178.84416,8.811461448669434,0.02578885667026043,0.1994655579328537,0.14697265625,0.8548433184623718,0.0,14.0,0.0,0.0,14.0,13.0,1.0,0.2309109369913737,0.156520813703537
27,1.3997812270000054,178.84416,7.318183898925781,0.011838858015835285,0.05024687200784683,0.14599609375,0.7170018553733826,0.0,1759.0,0.0,0.0,1705.0,1758.0,1.0,0.3082553545633952,0.15612825751304626
28,1.389831756000035,178.84416,7.033780574798584,0.00788525864481926,0.0737190991640091,0.14599609375,0.6881387233734131,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.3277778625488281,0.15800008177757263
